Varient_Name,Average_stars,Review_title,User_rating,Review_description
Bajaj Pulsar NS 125,4.2,Good Bike,5,"A very nice bike with good brakes that feel smooth, just like water flowing. Overall, the bike is really good."
Bajaj Pulsar 150,4.4,Pulsar Is Fashionable To Bike,5,The Pulsar is fashionable and awesome for people below 45 years old. It has good maintenance cost and there are many service stations available.
Bajaj Pulsar 150,4.4,All Of Good Quality,4,"Comfortable and super mileage, stylish with good quality. Speed control is also of good quality. I am very happy to drive it."
Bajaj Pulsar 220 F,4.6,Good Performance,4,The Pulsar 220F is my Favorite bike good looking and very good bike. I am impresss to pulsar 220f bike. so good looking and has good mileage.
Bajaj Pulsar NS 125,4.2,Extremely poor Pulsar NS 125,2,"Some bikes require no introduction as was NS 125, but in the wrong way, as the fit and finish of the bike are extremely poor and the looks are quite similar to its sibling models, which did require an introduction. So yeah, I would suggest investing in other models than NS 125. "
Bajaj Chetak,4.4,Chetak has amazing design,3,"Bajaj Chetak is an electric retro scooter that combines technology with Its amazing designs. It comes with a modern and classic retro design. The battery delivers smooth performance, making it ideal for day to day commuting. The scooter offers fabulous driving range of about 110 km once fully charged. Also its charging time is pretty less compared to others, that is just about 3 hours. It is comfortable and provides an amazing driving experience as well. Overall, it is a great blend of many features."
Bajaj Dominar 400,4.4,Great Power And Practicality,4,"Dominar 400 delivers a great blend of power, and  As a motorcycle enthusiast, Bajaj Dominar 400 far exceeded my expectations. This beast of a bike provides a thrilling riding experience. The 400cc engine produces remarkable performance, with smooth acceleration and an exhilarating peak speed. The bold and powerful look of the Dominar 400 draws attention to the road. The handling of the bike is excellent, offering confidence and stability even at high speeds. Long trips are made more enjoyable by the comfortable seating posture and well-padded seats. Bajaj Dominar 400 delivers a great blend of flair, power, and practicality, making it a top option for bike aficionados, thanks to sophisticated features such as LED lighting and a digital instrument cluster."
Bajaj Dominar 400,4.4,Comfort And Performance,5,Comfort for long drive rides. Power is also high and good performance. ABS working is good and I like DRL light.
Bajaj Dominar 400,4.4,Bajaj Dominar 400 surpassed my expectations ,4,"Bajaj Dominar 400 has surpassed my expectations as a first-time bike owner. It's strong engine and athletic styling make it a delight to ride. The bike's highway performance is excellent, and the slick gearbox enables flawless gear transitions. Bajaj  Dominar 400's comfortable seating posture and quick handling make navigating city traffic a delight. The build quality and durability inspire trust, while sophisticated features like LED illumination and a digital instrument cluster offer a modern touch. It was the ideal pick for me as a beginner, providing an excellent riding experience as well as a sense of accomplishment."
Bajaj Dominar 400,4.4,Impressed After Test Drive,4,"I got the pleasure to test drive the Bajaj Dominar 400 recently, and I must say that it exceeded my expectations. The bike's performance is outstanding, owing to its strong 373cc engine, which provides remarkable acceleration and peak speed. The handling of the Dominar 400 is smooth and accurate, providing excellent stability and control on both city streets and highways. The suspension design readily absorbs bumps and potholes, delivering a comfortable ride.  The aggressive look and strong attitude of the Dominar 400 enhance to its allure. Overall, I was really impressed with the Bajaj Dominar 400's performance, which places it among the best contenders in its class."
Bajaj Platina 110,4.0,Fantastic bike,4,"Discussing the driving experience of Platina 110 as it's of bajaj its shocks are truly great for the back, They are so agreeable and smooth. As you take the Platina 110 you will assuredly get mileage up to 70-75/ltr it's a genuine typical bike for petroleum savers. Pickup is respectable as is 110 cc however very good. As for overhauling initial six administrations are free at the Bajaj administration focus yet you need to trust that a lengthy timespan will return it. Indiscriminately go for the Platina 110."
Bajaj CT 110X,4.1,Bajaj CT 110X is Rider Friendly,5,"I use a Bajaj CT 110X, and I'm happy with how well it performs. This bike has an excellent design and offers good mileage. It works great and has a variety of features. The fact that it is an excellent bike for city riding is its best feature among all of these. This bike is fuel-efficient. "
Bajaj CT 110X,4.1,Bajaj CT110X has Comfortable Sitting,4,"While I was searching for a daily commuter bike in the mid-price category, I came across the Bajaj CT110X. The performance of this commuter bike is excellent. Also, it offers excellent pleasant riding; even on extended excursions, I never get fatigued. The cost of maintaining this bike is also quite low. With possessing this bike, I am pleased. "
Bajaj CT 110X,4.1,Bajaj CT 110X - Amazing Bike,4,"My father is thrilled and very satisfied with the Bajaj CT 110X that I gave him because it is lightweight, gets excellent mileage, and has a decent suspension system that helps the bike feel fewer potholes on the road. The bike is well-built."
Bajaj CT 110X,4.1,CT110X is a proper utility bike,4,Bajaj CT110X is a proper utility motorcycle. It's designed for remote locations where consumers want to load up their motorcycles as much as possible. This Bajaj can withstand a lot of abuse and serve its clients for many years.
Bajaj CT 125X,4.0,Nice Bike with comfort ,4,"This bike is really amazing with good features and the best safety, really this bike is very good about mileage."
Bajaj CT 125X,4.0,Overall Good Bike With Good Performance And Mileage,3,Overall good bike with good performance and mileage. Its comfort and price bucket are also good. 
Bajaj CT 125X,4.0,Overall Best Choice In This Segment,4,"Its look, comfort, and style are good. Overall this is the best choice in this segment, go for it. The mileage of this bike is also good. "
Bajaj CT 125X,4.0,Good Bike In This Segment,5,"Have great comfort with this budget segment bike with good mileage, Comfortable with a long ride, Suspension is too good."
Bajaj CT 125X,4.0,Comfortable To Use - Bajaj CT 125X,5,"Since I've been using the Bajaj CT 125X for a while, I have to say that it's a fantastic bike. Thanks to its sophisticated suspension system, the ride is incredibly smooth and comfortable. The 125cc engine has outstanding performance and is strong. Additionally, the bike has some practical features like tubeless tyres, a digital instrument cluster, and LED lighting that make it safer and more comfortable to use. Additionally, the mileage is decent, which is a major positive in my book. I think the Bajaj CT 125X is a fantastic bike all around, and I strongly recommend it."
