Varient_Name,Average_stars,Review_title,User_rating,Review_description
Hero HF Deluxe,4.8,Great Bike In This Segment,5,"Hero Hf Deluxe is an amazing bike, and it's good and comfortable for pillion riders also as the footrest is a charm as it makes the ride for the back rider pretty comfortable. I travel long distances and feel very comfortable while riding it, also gives an amazing mileage of 80kmpl."
Hero HF Deluxe,4.8,The Engine Is Pretty Well,5,"The engine is pretty well, running smoothly without any problems. I would highly recommend the Hf Deluxe bike to everyone looking for a budget bike with performance in the market and what I like the most is the mileage of 85kmpl."
Hero Splendor Plus,4.4,Good Bike For The Daily Commute,4,"My forever favourite! Stylish for office use, good mileage, and a super feel while riding. Rock-solid choice!"
Hero Xtreme 160R,4.1, Sporty And Agile Motorcycle,4,"The Hero Xtreme 160R is a commuter motorcycle with dégagé that combines performance and aggressive styling. Its 160-cc engine offers sufficient power and quick acceleration for strenuous tasks. The Xtreme 160R sticks out because to its angular and tough aesthetic. It boasts dégagé body plates, a strong energy tank, and sharp LED headlamps. Riders like riding it on both megacity thoroughfares and wide roads because to its sensitive retardation system and nimble running. The Xtreme 160R offers a comfortable riding position thanks to a well-contoured seat and thoughtfully positioned footpegs."
Hero Xtreme 160R,4.1,Awesome Experience with this bike. ,4,"Actually, I took this bike in September 2020. I had an awesome experience, it gives 57-59 mileage. I prefer to buy this bike just because it's relevant to the money I gave. I took this bike for a long drive (300kms) I didn't get any strain at all."
Hero Splendor Plus XTEC,4.1,Efficient Commuting Made Stylish : Plus Xtec,4,"One of the main features of the Hero Splendor Plus Xtec is its i3S start-stop technology, which automatically switches off the engine when the bike is idle for more than 5 seconds, and turns it back on when the clutch is engaged. This helps to save fuel and reduce emissions. The bike also comes with a range of other features such as a semi-digital instrument cluster, LED headlamp and tail lamp, tubeless tyres, and a front disc brake. The bike is available in three color options - Black with Silver, Black with Purple, and Heavy Grey with Green."
Hero Xoom 110,4.1,Tremendous Design,5,"I have to confess that Hero did a tremendous job designing such a good-looking scooter with Gen Z in mind. From the front apron to the side panels, every panel on the Xoom has been created with just one idea in mind. Even the split-type diamond-cut alloy wheels and the chunky-appearing exhaust complement the scooter's athletic features to a T. Hero provides the Xoom with the option of three more lovely colours, including blue, pearl white, and matte orange, in addition to the eye-catching Sports Red livery seen in these photographs."
Hero Xoom 110,4.1,Excellent features ,4,"Excellent features and design at this price. The mileage is also good. Because of the tubeless tyre, it's more safe breaks system is nice. Overall awesome features with safety."
Hero Passion Plus,3.9,Genuine Review,4,"I am using this bike for above 12 years, best performance of the bike is 100 cc, Hero bike is the Hero of the bike segments. Still, it is giving 55+ milage "
Hero Glamour XTEC,3.9,Perfect Commuter Bike,4,It is a great bike with decent mileage and great comfort for long rides. It is a perfect commuter bike.
Hero Maestro Edge 125,4.6,Awesome scooter.,5,Overall per performance is very good.
Hero Destini 125,4.4,Best Quality Scooter By Hero.,4,"Nice hero destiny 125cc Scooter, features are very good, mileage is also so good and tier quality is also nice."
Hero Maestro Edge 125,4.6,Nice looking mileage kafi accha hai.,5,"Nice looking mileage kafi accha hai features bohut acche hai, family ko bhi bahut pasand hai breaking bhi bohut acchi hai."
Hero Super Splendor XTEC,4.1,Hero super splender Xtec new and improved,5,"With a number of improvements over the original motorbike, the 2023 Hero Super Splendor Xtec was introduced on the Indian market. The Bluetooth-enabled fully-digital display on this model of the 125cc commuter motorbike offers features like missed call notifications, SMS alerts, incoming call alerts, and a phone battery level display, to name a few. But even though it bears the Xtec label, this motorbike lacks turn-by-turn directions."
Hero HF Deluxe,4.8,Good Bike,5,"I was looking for a low-budget bike in 100 ccs and HF was recommened by my friends, and i bought this on their suggestion, the bike is really awesome it gives me 72 kmpl mileage and a comfortable ride."
