Varient_Name,Average_stars,Review_title,User_rating,Review_description
Honda Unicorn,4.0,Good Bike And Excellent Features,4,"Good bike and excellent features, good performance, and also mileage and value for money to buy this bike I like it so much."
Honda Unicorn,4.0,Build Quality Good,3,Honda is an average bike of 150CC segments in India.
Honda Activa 125,4.2,Nice Scooter,5,It's the best option for family members. 2 people can sit easily. The look and feel are good with nice features.
Honda Activa 125,4.2,Best Vehicle,3,"Engine power and pickup are decent. Features are also good. Front glove box, side stand cut off, automatic engine off, outer double fuel lid, and a stylish look. The top speed is 90 km/h with a person of 70 kg weight sitting. The driving experience is smooth at high speeds also. And it is giving a good mileage of 45kmpl but remember a trick to increase mileage drive on economy speed between 35 to 50kmph."
Honda SP160,4.3,Good Design,4,"This bike provides us with good mileage, power, and a particularly attractive appearance, which gives us an overall decent look."
Honda Dio,4.1,Honda Dio Is The Best,4,"Honda Dio is the best Scooty. I love it most, and its features are best in comparison to other Scooty."
Honda Unicorn,4.0,Excellent Family Bike,4,"Except for the price, Unicorn continued its success journey with respect to its performance, mileage, and safety. Yet to start the free services."
Honda CB350RS,4.0,My review of the bike I purchased ,4,Best in class fit and finish.
Honda CB350RS,4.0,Value For Money,4,"This is a good bike with great looks and performance. Worth it to buy and the braking system was very good. Its seat is very comfortable for long rides, this is a value for money."
Honda Dio 125,4.0,Best Scooter,4,The Honda Dio 125 provides the best experience. It offers unexpected mileage and comes in very attractive colors.
Honda Dio,4.1,Honda Dio Is The Finest,4,This scooter is the finest for getting around town because of its fashionable design. I wish to get this scooter since it has a fashionable appearance and has higher gas mileage than the Activa 6G at 48 kmpl. We are all purchasing the Honda Dio scooter these days in order to travel comfortably. I want to get it soon since it has a led light design.
Honda CD 110 Dream,3.9,Great Mileage,4,I'm writing this after 2 months of driving my Honda CD110. Really it is more comfortable and looks very nice than Splendor. This bike gives great mileage. This bike has great looks. 
Honda Hornet 2.0,4.0,An Average Bike.,3,There is no mileage mentioned by the company and ground clearance is too low 167 as the unicorn. There should be a lady's footrest. I don't think so it's quite suitable for a double seat there should be some extra seat space in the back seat.
Honda Dio,4.1,Good Performance,4,Good experience to use it on daily basis. Good performance with fuel and off-road as well. Mileage is good and it has a smooth engine so it gives a great rides quality. Easy to handle. Go for it.
Honda CD 110 Dream,3.9,Great Budget Bike,4,A good budget vehicle with low maintenance cost and great mileage. It is so good to use for a drive.
Honda XBlade,4.1,Excellent Bike ,4,"Best bike for mileage and performance, sporty look good for a long drive, excellent road grip."
Honda XBlade,4.1,Awesome Bike,5,Best bike in India at a low price at any place in India. Mileage is also best.
Honda XBlade,4.1,"Really, one look is enough ",5,"Super stylish, low maintenance, heavy powerful, mileage, extraordinary bike at this price. Really, one look is enough."
Honda Livo,4.2,Great Bike With Great Mileage.,4,"The Honda Livo  is very nice bike I like it, "
Honda Livo,4.2,Honda bs6 Livo review after riding 600 kms,4,"Honda bs6 Livo is the best commuter bike in milage, most stylish among 110cc bike after running 600 kms. I am reviewing, I am getting 80+ mileage for 1ltr.   Smooth & efficient engine in 110cc, the best bike for officials, pickup is good in 50 to 60 kmp speed with commuter, with Pillon may slightly down the pickup, road grip is excellent even does not get vibrated in '80s. Good for highway little bit irritating in village roads due to sudden changes in gear. The bike is Not for showoff & stunt's purely mileage cum official bike, best in below 60kmph."
Honda Livo,4.2,Best Bike In This Segment,4,This is a class bike and its fuel efficiency is very good and its performance is also amazing. This bike has better look with modern features and its price is bit costly.
Honda Livo,4.2,"It's An Excellent Vehicle, ",5,"It's an excellent vehicle, better mileage, and good performance, but one disadvantage is poor chain sprocket, to be changed, "
Honda Livo,4.2,Awesome Bike,4,Nice pickup and look.
Honda Livo,4.2,Not satisfied with this bike.,2,"I am using this bike for the last three years mileage is only 40, and it vibrates so much after you cross the speed of 50, parts not available so easily in the market."
Honda Livo,4.2,Mileage machine ,4,"I owned this bike for the last 3 years and have driven 70000 km. No issue to date. One thing can remember is. This is not a performance-based machine. That only goes 60kmph, and then enjoy riding with the best mileage."
Honda Livo,4.2,I liked it,5,I liked the colour of the bike and its mileage is so good. I can carry 3 people easily I loved this bike. 
Honda Livo,4.2,Amazing Bike (:,5,"Best 110 cc bike with amazing aesthetics, comfort, and mileage. (60+kmpl) I own a matt grey colour. It looks dashing with a muscular fuel tank design. A decent instrument cluster simply provides all the necessary info. And the exhaust sound is also nice. "
Honda Livo,4.2,Honda Livo Bs6 Sporty And Comfortable,5,It's the best bike for students like sporty and comfortable. Its mileage is also very best. It is excellent.
Honda Livo,4.2,Good Commuter Bike,4,"Honda Livo is a best-in-class commuter bike. It's slightly expensive compared to similar price range commuters offered by other manufacturers like Hero Passion Pro, Bajaj CT 100 and Hero Splendor series. However, comfort and convenience this bike gives is at different level and other bikes can't compete at such price range. Some people would opt for Honda Shine 125 because it is in same price range and offers 125cc engine. But if you are mileage conscious then you should consider buying Honda Livo. The engine of the bike is very smooth and comfortable for long-range. It gives a good and consistent performance. The service cost of the vehicle is pretty low."
Honda Livo,4.2,This Is A Good Bike,4,This bike is good and gives good mileage. It doesn't disappoint me with the price.
Honda Livo,4.2,Best Bike,4,Nice product it has comfortable seats and decent mileage. Speed is also nice in this segment.
