Varient_Name,Average_stars,Review_title,User_rating,Review_description
TVS Apache RTR 160,4.5,It Is Just Fantastic,4,TVS is the first brand you think of when you think of trust and that is true because they make one of the best bikes that are affordable and full with loads of features as well. TVS Apache RTR 160 is a fantastic bike that is very comfortable and smooth on the road and also provides an amazing driving experience. I feel that this is a great bike coming at this price with a strong and sturdy engine of about 160 cc and a high mileage of 60kmpl as well. It is just fantastic.
TVS Ronin,4.2, THE TVS Ronin,5,"The TVS Ronin bike is a custom-built motorcycle that was created by Paul Leeson, a custom motorcycle builder based in Australia. It is based on the TVS Apache RTR 200 4V motorcycle and features a number of modifications and customizations, including a new subframe, fuel tank, seat, and exhaust system. The bike has a distinctive, retro-inspired design and is powered by a 197.75cc, single-cylinder engine that produces a maximum power of 20.5 PS and a peak torque of 16.8 Nm."
TVS Ronin,4.2,Beautiful Bike,4,Excellent bike with a better experience and good mileage and this bike look very nice. The seat is very comfortable.
TVS Jupiter 125,4.1,Excellent Features - Jupiter 125,4,"One of the standout features of the TVS Jupiter 125 is the LED headlight, which provides excellent visibility in low-light conditions. Additionally, the external fuel filler cap makes refueling a breeze, while the mobile charging port allows you to stay connected on the go. The scooter is available in three different variants: Drum, Drum Alloy, and Disc, each offering unique features and styling. In terms of mileage, the TVS Jupiter 125 offers an impressive 50-55 km/l, making it one of the most fuel-efficient scooters in its segment. The price of the scooter varies depending on the variant, with the base variant starting at around 83000. Overall, the TVS Jupiter 125 is a great scooter that offers excellent comfort, features, and performance at an affordable price point."
TVS iQube Electric,4.2,Lovely scooter,5,"The cost is reasonable given the scooter's characteristics.  state government ought to provide a subsidy for this as well. The colour selection is quite broad, and functions like mobile charging and disc brake are particularly helpful. To economise on fuel and the environment, the individual who commutes 60 to 90 kilometres each day must purchase this. "
TVS iQube Electric,4.2,Good Looking Scooter With A Smoother Drive,4,It is a good-looking scooter with a smoother drive. The battery backup is also good and can sit 2 people comfortably. 
TVS Apache RR 310,4.5,Best Riding Experience,5,Best bike under budget Great looks best riding experience and the sports look was awesome the speed is too good as compared to other 300cc bikes. I will recommend buying this bike the riding position is also very good and the abs are very great for braking it is made for speeding and enjoying rides.
TVS Apache RTR 160,4.5,Good Experience,4,"A good-looking and passionate bike. The mileage is as good as the bike's performance. However, the price is a little bit high."
TVS Apache RTR 200 4V,4.4,Perfect Racing Machine.,5,"I select this bike without a test drive. I love the look and build quality of this machine and roars like a beast. It is perfect for traffic and highway rides. On the highway, it will race, and it's a racing machine. "
TVS Radeon,4.5,TVS Radeon Riding Experience Is Good,4,Overall riding experience is good with great performance. This is a wonderful and amazing technology features bike in this price segment.
TVS Scooty Zest,4.3,Awesome Bike,4,"Excellent scooter to ride, having a pretty comfortable seat and leg space. It provides a mileage of 65 kmpl which is one of the biggest pros of Scooty Zest. It looks, and designs are also very attractive and beautiful. Its powerful 110cc engine is completely reliable even during continuous long rides."
TVS NTORQ 125,4.4,The best scooters in market.,4,"The best scooter in the market, Lovely after-sales service. The performance of the scooter is great, I really enjoy riding it."
TVS NTORQ 125,4.4,Performance is bad.,3,The Ntorq is good but as soon as you cross 15000 km you will get a starting problem which can result in failure of the engine and many more problems.
TVS NTORQ 125,4.4,It is a stylish scooter,4,"It's a good scooter, I am fully satisfied with the scooter, maintenance is less, pickup is good, it is a superb bike and good price in comparison of the other brand."
TVS NTORQ 125,4.4,Really Good Performing Scooter.,4,"Really comfortable vehicle, smooth to ride, mileage pickup is good. An awesome experience for me. Really a good scooter."
TVS NTORQ 125,4.4,Ntorq is Best Scooter,4,Ntorq is the best scooter in its segment.
TVS NTORQ 125,4.4,Superb And Stylish Scooter.,4,"I like this scooter because it's a lovely design, mind-blowing sound, pickup is amazing, great digital meter with all the information, soft cushion seating and mileage is also great."
TVS Apache RTR 200 4V,4.4,Comfortable Bike,5,This bike is awesome in my family we have 6 Apache RTR 200v it's average is good and it's riding comfort is best. Driving performance is so good. I know that once I have gone for a long ride from Jhansi to Lucknow while riding my TVS Apache RTR 200v. I don't feel any negative point between my ride It's a perfect bike for younger generation boys. I thank you TVS for making such a wonderful sports bike.  
TVS Jupiter,4.4,Nice Experience,4,Highly recommended & very nice experience also it looks amazing.
TVS Radeon,4.5,Best bike ever.,5,The very stylish scooter and the seating are very comfortable.
TVS Radeon,4.5,Great bike.,5,The exhaust sound of the bike is great.
TVS Star City Plus,4.4,Excellent mileage,4,"It is good for riding, smooth and comfortable. Seating space is also comfortable."
TVS Star City Plus,4.4,Nice bike,4,Nice bike but company giving publicity as 85 KMPL but it gives me a mileage of 60 KMPL in the city and 65 KMPL in long rides. Nice quality of bike body parts.
TVS Star City Plus,4.4,Body parts are not good 3rd class all are get rusted in 1st year,1,"The bike is good on average no parts available in the market, only in the showroom with 28% GST. on the 1st year completed my TVS Star City plus all the part gets rusty silencer burst and bullet sound coming I am not at all happy with service provided from TVS."
TVS Apache RTR 160 4V,4.4,Best Looking Bike - TVS Apache RTR 160 4V,5,"This Bike Truly Deserve 10 Stars out of 10. I Bought this Bike last month. This is a very good bike available at an affordable price. This bike looks very sporty and still, it is very comfortable to ride. That's why I like this bike so much. It very comfortable to ride and also it ensures safety while riding it at high speed."
TVS Apache RTR 160 4V,4.4,Amazing Performance Apache RTR 160 4V,5,I am really excited to share this because this bike will be my first bike and going to buy Apache RTR 160 4V is the best bike for me at a low cost. It has a fast speed strong body and long time warranty and it gives me the best mileage so that this was the best bike. I have already taken the test ride and its performance is just awesome.
TVS Apache RTR 160 4V,4.4,TVS apache is the best.,4,Very comfortable and balanced with a highly controlled bike. I'm very happy to buy this bike. I'll suggest buying everyone. 
TVS Apache RTR 160 4V,4.4,Awesome bike.,4,"RTR 160 ek behtreen bike hai, I like it so much & I hope that TVS company will make more amazing features ad on it."
TVS Apache RTR 160 4V,4.4,Nice bike,4,"
The bike is ice and the looks are stylish and they have the best mileage."
TVS Apache RTR 160 4V,4.4,Rider's choice,4,"Some negative points, except that its a very nice and budget bike. Performance and mileage are excellent. "
TVS Jupiter,4.4,Great value for money.,5,I am riding my favorite scooter Jupiter ZX disc and I just loved it. The performance of the scooter is very nice and very comfortable.
TVS Radeon,4.5,RADEON BULLET,4,Bike is comfortable. Smooth. Driving the bike a good experience. Radeon bike runs comfortably.  Breaks works instinctively.  Radeon bike looks like a Bullet.
