Varient_Name,Average_stars,Review_title,User_rating,Review_description
Yamaha MT 15 V2,4.2,Excellent Comfort And Performance,4,"Best bike with excellent comfort and performance. The mileage is nearly 53 km/l, and the features and looks are also good. The best bike overall."
Yamaha MT 15 V2,4.2,Yamaha MT 15 V2 Is The Ideal Bike,4,"My brother flaunts his Yamaha MT 15 V2 all the time since he is so proud of it. The MT 15 V2 offers accurate and dependable braking thanks to its Disc front and Disc rear brakes. With a gasoline tank size of 10 L and a weight of 141 kg, it provides a smooth and balanced ride. Every rider's need for speed is satiated by the 155 cc bs6-2.0 engine's tremendous performance. The Yamaha MT 15 V2 is the ideal bike to make a big statement on the roads if you want to ride something that is not only beautiful to look at but also fun to ride."
Yamaha MT 15 V2,4.2,A Nice Bike,5,"Yamaha bike is a good bike. Its safety specs are good, and the special thing is that it looks good and has good mileage."
Yamaha MT 15 V2,4.2,For An A Middle Class,4,"For a middle-class individual, it's a superb and supreme bike. To achieve good mileage, maintenance is necessary. It's always a superbike."
Yamaha MT 15 V2,4.2,Great Experience ,4,"The experience with this kind of sports bike is excellent, as it provides the best mileage and is a fuel-efficient sports bike."
Yamaha MT 15 V2,4.2,Good Performance,4,This is a wonderful choice for bachelors. And this is very comfortable and stylish.
Yamaha MT 15 V2,4.2,Best Bike In This Price Range,5,"The best bike in this price range. The mileage is perfect, and the maximum speed is good. Everything about this is the best."
Yamaha FZ-X,4.1,Best Bike In The Segment.,5,"The best bike in the segment. It's different from the crowd, very good eye-catching, beautiful look, and comfortable riding bike. Its average is very good 50+kmpl."
Yamaha FZ-X,4.1,Good Bike ,4,Perfect bike for scrambler or cafe racer lovers at a good price. Its unique colors n 01 descriptions on the tank give it a beautiful look and it looks quite similar to expensive scrambler bikes you can go with if you love off-roading.
Yamaha FZS 25,4.1,Why you should buy Yamaha.,5,Don’t have sleeper clutch
Yamaha FZS 25,4.1,Good Performance Bike,4,It's the best comfort and performance bike in this price segment. It has good power when compared to other bikes in the same price range.
Yamaha FZS 25,4.1,Great Bike,4,"GREAT BIKE, GREAT ENGINE, GREAT BRAND, VALUE FOR MONEY IN THE 25O CC SEGMENT. LOOKS GREAT AND IS BEST FOR A CITY RIDE. "
