Varient_Name,Average_stars,Review_title,User_rating,Review_description
Ducati Diavel V4,4.5,Good Bike,5,"An amazing experience and I liked it. At night, the front light is much more comfortable for driving."
Ducati Panigale V2,4.5,Best in performance.,4,The bike is like a beast in terms of performance and the styling of this bike so amazing.
Ducati Diavel V4,4.5,Great Bike,4,"It feels great to have this bike, like a ruler on the road. The comfort is good, and while the maintenance is a bit high, it's overall good."
Ducati Streetfighter V4,4.0,This Is A Great Bike,4,This is an impressive and powerful machine that exudes confidence and style and is sure to turn heads wherever it goes.
Ducati Monster,4.0,Excellent Bike,4,"The best torque at this price. Excellent performance, stylish looks, and admirable pick-up is really good."
Ducati Streetfighter V4,4.0,Excellent Performance,4,"It's an amazing bike that boasts a stylish design. The green colour option is particularly striking, and it's also quite affordable to purchase."
Ducati Panigale V2,4.5,Best Bike,5,Ducati Panigale V2 is awesome. It is the best bike in this price range. It has good mileage and it is very comfortable. 
Ducati Panigale V4,4.7,One of the FINEST!  ,5,"The power and the ride comfort this bike gives is just amazing. You will always feel to just take it to maximum power. If you've been waiting to get the best sports bike, this bike will be the best,  the engine sounds soo refined that you will love to give rev to it, the sitting position is well planned by the company,  Balanced power, ABS system works soo smooth so that you don't have to worry about your safety will riding gear shifts are good and handlamps look so attractive."
Ducati Panigale V4,4.7,I'm definitely capable of just enjoying riding my bike these days,5,"The Ducati Panigale V4 - a manic, 211 bhp superbike packed with the performance to scare you silly, and electronic riders aids to make a hero out of you on a racetrack. We spent a day hustling this near MotoGP-spec Ducati superbike at the Sepang International Circuit in Malaysia. And we came back overwhelmed with the V4 engine's performance and the bike's overall handling. It is the most powerful road-legal homologated superbike in the world, and it's the first production Ducati to use a four-cylinder engine. After spending a few track sessions with the Ducati Panigale V4 S at the Sepang International Circuit in Malaysia, we can say with conviction that Ducati has made a superbike which can make you feel like you have much better skills on a racetrack than what you actually have. Yes, the Panigale V4, or the Panigale V4 S, in this case, can make a hero out of you on a racetrack, as we found out."
Ducati Panigale V4,4.7,King of style and speed,5,The fastest and the king of style in the world. When I drove it for the first time I was just lost.
Ducati Panigale V4,4.7,Amazing Bike - Ducati Panigale V4 ,5,"This bike Ducati Panigale V4  has a gorgeous and sweat design outlook, most advance feature in the worldwide, It has a brilliant feature in motorcycle, better communication in the field of the sports world."
