Varient_Name,Average_stars,Review_title,User_rating,Review_description
Harley Davidson Road Glide Special,4.0,Good Bike,4,It's a very good bike. Very safe. Good performance. Good mileage. Good comfort. Maintenance costs are also low not much as compared to other bikes.
Harley Davidson X440,4.1,Best Bike,4,"One of the best in the best range of motorbikes. A bit expensive compared to other 250-450 cc bikes, but class is not compromised."
Harley Davidson X440,4.1,Most Lovable Bike For Me,4,"The recently released Harley Davidson X440 is the bike that I genuinely like. The X440 was constructed using high-quality materials, increasing its strength and stability and extending its lifespan. The Harley X440 has a really chic and contemporary look. Since it is a cruiser bike, I find it impossible to take my eyes off of it. The nicest part about the Harley-Davidson X440 is that it is available in 3 different variations."
Harley Davidson X440,4.1,The Most Affordable And Premium Bike,5,"This masterclass is gonna rule the premium segment for years. Certainly, a great move to launch in this price segment."
Harley Davidson X440,4.1,Looks and Performance,4,"Overall, the looks are good compared to its other rivals like Classic 350, CB300, Jawa, etc. The performance is great in the mid-range, at speeds of 90 to 120, with 38Nm of torque at 4000rpm, resulting in better mileage. The sitting position is the classic style, which adds to the overall appeal."
Harley Davidson X440,4.1,Good Performance,5,Never experienced a great bike like this suspension are awesome budget-friendly bike for middle-class families.
Harley Davidson X440,4.1,Best Performance With Comfort ,4,The most awesome thing about this new Harley is its performance and attractive look.
Harley Davidson X440,4.1,Harley Davidson X440 - Amazing Bike,4,"The Harley Davidson X440 is an impressive motorcycle that exudes power and style. From its sleek, aerodynamic design to its roaring engine, it's a true embodiment of the Harley Davidson legacy. The bike's performance is outstanding, with a high-torque engine that delivers exhilarating acceleration and smooth handling on various terrains. The riding experience is further enhanced by its comfortable seat and well-placed controls, ensuring long journeys are a pleasure."
Harley Davidson X440,4.1,Good Bike,4,I have recently got a ride on the bike. It was quite a decent experience. I think the company might work on the sound as it is directly competing with the interceptor of Royal Enfield. No such other problems. The price range is quite appealing and the looks are awesome.
Harley Davidson X440,4.1,Great move from Harley Davidson ,4,"Harley Davidson X440 makes the Royal Enfield Trouble. At this price, it will highly affect the sales of other brands' markets. I am pretty sure that all of us like to ride the Harley that has less budget. The looks of the bike and bike are very much comfortable and have an elegant look. And in the very early days of the launch, we will see high sales at the end I will just say that Harley has done great work. And I hope for great sales of Harley Davidson x440 in upcoming future years. All the best"
