Varient_Name,Average_stars,Review_title,User_rating,Review_description
Jawa 42 Bobber,4.1,Best Performance,4,"Best in class, premium features, and the exhausts are enough to bomb the streets. The overall bike is fantastic the design and dual color combination are perfect. "
Jawa 42 Bobber,4.1,Powerful Bike,4,"The best-looking bike in this segment. You can't find anything better than this in terms of looks. In comparison with its power, the mileage it provides is amazing. The posture while riding is very comfortable and relaxing as the seat is also well-cushioned and comfortable"
Jawa 42 Bobber,4.1,Best Bike In 200 cc Segment,4,This is the best bike in the 200cc segment with a nice look and performance. The bike handling was perfectly balanced in it.
Jawa 42 Bobber,4.1,Overall Good Bike,4,"It is a more beautiful-looking bike than Jawa Perak and it has a good road presence. It has a more comfortable sitting position, and a nice led headlight as well. Overall it is a good bike."
Jawa 42 Bobber,4.1,Nice Bike ,4,My experience on this one was the best in class and the smoothness I felt while driving was like butter on bread. The bike gives good speed in minimum time as it looks heavy but it is not. The concept of having a single seat on the bike is making the bike look more stylish. Bobber 42 overall was the nicest of all JAWA bikes. 
Jawa 42 Bobber,4.1,Amazing Bike,4,It's the bike you will fall in love with the moment you see it. Its performance is great styling is great but you will have to compromise with the mileage. But overall it's worth buying.
Jawa 42 Bobber,4.1,Eyeball magnet bike,4,"The Jawa Bobber 42 is a great motorcycle for those looking for a retro-style ride. The design is inspired by the classic bobbers of the 1940s and 1950s, with a sleek and minimalist look. The bike is powered by a 42cc single-cylinder engine that delivers smooth and reliable performance. It has a comfortable seat and handlebars that allow for an easy and relaxed riding position. The suspension system is also well-tuned, providing a smooth ride even on rough roads. Additionally, the bike is equipped with a disc brake on the front wheel and a drum brake on the rear wheel, which provides good stopping power. Overall, the Jawa Bobber 42 is a great choice for those looking for a stylish and fun-to-ride motorcycle that harkens back to the glory days of motorcycling."
Jawa 42 Bobber,4.1,"Classic charm, modern twist. Sleek",3,Classic charm with a modern twist. Sleek design and a smooth ride. It's a perfect blend of style and performance. An impressive two-wheeler!
Jawa 42 Bobber,4.1,Jawa bobber ,5,"It's really a good bike that gives comfort as well. It's not an average bike; it's amazing! You can also ride at high speeds, but make sure you ride with safety."
Jawa 42 2.1,4.5,Comfortable Bike,5,It was very good on my first ride. I felt very comfortable on this bike.
Jawa 42 Bobber,4.1,Amazing Vehicle,4,I am really amazed by its looks. Its appearance is something beyond imagination. The way its front part resembles the 42 and the back resembles Perak is amazing. It is even the most pocket-friendly bobber in India.
Jawa 42 Bobber,4.1,Java 42 Bobber Is Perfect Combo Of Looks And Power,5,Superb pickup with a budget-friendly service cost. This is the perfect combo of looks and power.
Jawa 42 Bobber,4.1,Looks Awesome,4,"This bike looks awesome. The Bobber 42 has comfort, style and power are perfect."
Jawa 42 2.1,4.5,The Jawa 42 Offers More,5,"The Jawa 42 offers more than just a mode of transportation; it's an experience, a connection to history, and a statement of individuality. From its design inspired by a glorious past to its practicality on Indian roads, the Jawa 42 caters to the sensibilities of Indian riders. If you're someone who values the fusion of tradition and modernity and seeks to relive the essence of classic motorcycling in the context of contemporary India, the Jawa 42 is a strong contender that resonates with your heart and soul."
