Varient_Name,Average_stars,Review_title,User_rating,Review_description
Suzuki Avenis,4.1,I will be can't buy any scooter of Suzuki tvs.,2,"I bought a Suzuki Avenis Ride Connection model two months ago. Now, my scooty stops while I'm driving. The engine is performing poorly, and the mileage is low."
Suzuki Avenis,4.1,deal for regular use.,4,"Suzuki Avenis is a compact sedan that gives style, efficiency, and practicality. Despite its size, it gives a snug and spacious interior. The smooth design with aerodynamic strains and cutting-edge accents provides to its enchantment. The Avenis supplies precise gasoline financial system and a easy using enjoy. It prioritizes consolation with nicely-cushioned seats and handy features. Safety functions like airbags and ABS make sure peace of thoughts. Suzuki's reliability and sturdiness are glaring inside the Avenis. Overall, it's miles a dependable and fashionable sedan appropriate for urban riding, offering a comfortable journey, green performance, and a sensible package deal for regular use."
Suzuki Avenis,4.1,Good Experience,5,"Suzuki Avenis has awesome features and is super comfortable to ride. Its design is awesome, and the white color looks amazing."
Suzuki Avenis,4.1,Embrace Off-Road Adventure With Avenis,4,"The Suzuki Avenis is a vehicle that radiates intricacy and provides a smooth ride. This model is ideal for individuals looking for a hint of luxury thanks to its sophisticated design and roomy interior. During long rides, the Avenis offers respectable availability and icing effectiveness. Although it has a high price tag, the comfort and amenities it provides make the purchase worthwhile. By absorbing road imperfections, the suspense system provides a solid and smooth lift. The Avenis' outstanding noise isolation keeps the interior quiet while travelling along highways."
Suzuki Avenis,4.1,Great one truly agreeable,4,"The Suzuki Avenis epitomizes the soul of metropolitan freedom, flawlessly mixing a smooth feel with dynamic execution. This flexible bike easily moves through city roads, changing your drive into a brilliant encounter. It's minimal size and responsive dealing with pursue it an optimal decision for exploring clogged streets. It offers an agreeable and ergonomic ride, flaunting open seating and helpful stockpiling arrangements. It discloses a universe of unparalleled style and dexterity, engaging riders to embrace metropolitan opportunity with unrivaled elegance."
Suzuki Avenis,4.1,The swish and refined lifts it brings,5,"This model's capability to give fineness is the crucial argument for my relish. The Suzuki Avenis Elegance's refined project and swish features have obtained my estimation entirely. Its qualification of sophisticated lifts and aesthetic fetish make it ideal for riders who appreciate a touch of fineness. The Avenis Elegance's emotional aesthetics and comfortable riding experience have left a lasting print on me. Suzuki has truly grasped fineness with this bike, and I hold a deep fondness for this model because of the swish and refined lifts it brings!"
Suzuki Avenis,4.1,Perfect Scooter ,5,"The perfect scooter for Indian roads, very comfortable, good looks, performance very great and average is the best. "
Suzuki Avenis,4.1,Best Scooter In The Segment,4,This is the best scooter in the segment with the combination of mileage and power. It looks great. 
Suzuki Avenis,4.1,Suzuki Avenis is an overpriced scooter,3,"I took a test ride of Avenis and I did not like it much, the design and looks similar to many other scooter. Although, the price is also at higher end. The suspensions and comfort is okay, not that super. The mileage of 55kmpl is seems to be sufficient. Fuel tank of 5 lt is very less."
Suzuki Avenis,4.1,Good Performance,4,"I am riding Avenis for quite a while, and from that, I can clearly say it is worth the price. The riding experience is very smooth. the styling is on the fancier side. overall it's a good scooter."
Suzuki Avenis,4.1,As An Owner I Have A Reliable Ride,5,"As an owner I have a few things to say first thing is the looks and styling of this vehicle are sharp and modern look suitable for all age groups comfortable and reliable ride and mileage is good on this machine close to 52 as you get an average between 42 to 52 as per your riding style in the city don't have any complaints about the average, the engine is smooth and refined it does not vibrate even with the pillion sitting acceleration is on the good side as well, what I like most about events are storage space and comfort. Tons of storage options yous are getting as two front pockets and a good amount of under-seat storage and more than adequate space on the floorboard riding comfort is on the good side you get a nice wide seat and a good amount of sitting space for the pillion. About the negative there are certain things that I don't like first is tyre size and choice of tyre MRF tyres are the worst in terms of grip and the second bad choice is the rear 10-inch wheel balancing and riding confidence lacking just because of wheel size and tire selection, I have changed the rear tyre to size 110/90-10 of Ralco and I made a good decision now everything in terms of balance riding comfort and confidence are on point build quality of some parts could have been better because rear side got cracked with a touch of other bike's disc side panels and front panels are good in terms of quality but the black plastic thing on the rear and on knee side is not that great. There is no DRL instead you are getting always-on headlamps and especially headlamps are too much on the weaker side adequate light for daily commutes but not recommended for long runs or darker environments but that too is easily fixable with auxiliary/fog lights. Overall if you want to buy this scooter I will recommend it, after a few changes it's an excellent vehicle and will never disappoint you can go for it."
Suzuki Avenis,4.1,Unrivalled Style The Suzuki Avenis,4,"The Suzuki Avenis exemplifies the soul of metropolitan freedom, consistently mixing smooth style with dynamic execution. This flexible bike easily moves through city roads, changing your drive into a brilliant encounter. Its minimal size and responsiveness take care of making an optimal decision for exploring blocked streets. It offers an agreeable and ergonomic ride, flaunting roomy seating and helpful stockpiling arrangements. Whether you're a day-to-day suburbanite or an end-of-the-week wayfarer, it discloses a universe of unparalleled style and nimbleness, engaging riders to embrace the metropolitan opportunity with unequalled effortlessness."
Suzuki Access 125,4.2,Good Scooter ,4,"I like the Suzuki Access 125. The mileage is also good, and I feel very comfortable while driving it. I suggest buying this scooter."
Suzuki Gixxer,4.2,Awesome Bike,3,"Suzuki Gixxer is the best bike based on the look of the front side and the seat heights. Its comfort for rider and pillion. And, also very good mileage in this price segment."
Suzuki V-Strom 650XT,4.1,Average vehicle.,1,There are no issues in one click start but in winters there is a little delay in self-start.
Suzuki Gixxer,4.2,The power Pack Bike,4,This bike in this segment has the best in class power and has a smooth driving experience and the maintenance cost is also low. The only thing I don't like about this bike is the seat especially the pillion one. Just get the seat modified and you are good to go anywhere you want.
Suzuki Katana,4.0,Suzuki Katana for experienced riders,4,This is a very powerful bike and therefore i would not recommend it to new riders as it could become dangerous. I love how fast the pickup of the bike is. The price is totally justified for the performance. 
Suzuki Katana,4.0,The iconic and fabulous lifts it brings,4,"This model has won my heart through the fabulous spirit it revives. The Suzuki Katana Revival's iconic design and major heritage have solidified its position as a cherished choice for me. Its provision of fabulous lifts and dateless seductiveness make it ideal for riders seeking a connection to Suzuki's history. The Katana Revival's emotional design and literal significance have gained my favor. Suzuki has truly revived a legend with this bike, and I adore it for the iconic and fabulous lifts it brings!"
Suzuki Gixxer,4.2,5 years of experience ,4,"if I have to explain it overall in 2 words that are stylish and sexy. The only and major problem which I have faced is engine oil leakage from the engine. I was not able to solve, I have done everything which was recommended by Suzuki service center, built up quality is very good, no vibration issues and it is very smooth. The engine is well refined, no such major issues I have faced."
Suzuki Katana,4.0,Suzuki Katana attention Graber,4,This is a pure attention Graber bike. The exhaust note is just lovely. This bike is like no other bike ever made pure power and comfort. The bike sure comes at a price but it is worth it.
Suzuki Katana,4.0,Katana Is Best In Performance,4,The Suzuki Katana is no different as it has been equipped with one of the finest engines and specs available in the segment. Katana Is Best In Performance. The design of this bike is unique and attention-grabbing on the go. The performance of this engine is ballistic and the Suzuki Katana pulls like a train over the road.
Suzuki Katana,4.0,Nice Bike,4,This bike comes at a price range of around 14lakhs. It has a 999cc inline-four liquid-cooled motor. The engine is very powerful and does not overheat even in summers for long journeys. I love the overall experience the seats are very comfortable.
Suzuki Katana,4.0,Suzuki Kartana is my favourite bike,4,"Its a 999cc BS6 engine which generates power of 150 bhp and a torque of 106nm. The design looks so bulky and masculine. The ride experience is extremely powerful and eye opening. It has comfortable sitting ergonomics. Built up quality is highly standardized. The tyres are quite huge. However, i think it is overpriced, at around 16 lakh, there are better option available at this time."
Suzuki Katana,4.0,Streetfighter motorbike,4,"The Suzuki Katana is a streetfighter motorbike in the litre class that is functional, powerful and has useful features. It is an enjoyable bike because of its overall riding characteristics and handling qualities. However because it is a CBU, maintenance costs are high, and access to services is restricted."
Suzuki Katana,4.0,Timeless Design And Exhilarating Performance,4,"The SUZUKI Katana combines timeless design with exhilarating performance, paying homage to the legendary motorcycle of the past. Its striking styling and sharp lines exude a sense of power and elegance. The potent engine delivers thrilling acceleration and impressive power, making every ride a thrilling experience. The responsive handling and advanced braking system ensure precise control and confidence in various riding situations. While it may come at a higher price point, the SUZUKI Katana's unique blend of heritage and modern performance makes it a captivating choice for riders who appreciate the fusion of iconic design and exhilarating rides."
Suzuki Katana,4.0,Modern And Retro-styled Sport Bike,4,"The Suzuki Katana is a stunning motorbike with an unbelievable look and first-rate execution. This bicycle offers appreciation for the first Katana model with its huge hardware and forceful plan. The Katana has sensible utility and finds some kind of harmony between strength and proficiency. Despite the fact that it is more costly, the rush it gives makes up for the expense. In the Katana, solace is taken into mind. The bicycle has an agreeable seat and an ergonomic riding position that make it conceivable to ride for expanded timeframes without becoming depleted. Successfully engrossing knocks is the anticipation framework."
Suzuki Katana,4.0,Timeless Design And Exhilarating Performance,4,"The SUZUKI Katana combines timeless design with an exhilarating performance, paying homage to the legendary motorcycle of the past. Its striking styling and sharp lines exude a sense of power and elegance. The potent engine delivers thrilling acceleration and impressive power, making every ride a thrilling experience. The responsive handling and advanced braking system ensure precise control and confidence in various riding situations. While it may come at a higher price point, the SUZUKI Katana's unique blend of heritage and modern performance make it a captivating choice for riders who appreciate the fusion of iconic design and exhilarating rides."
Suzuki Katana,4.0,Modern and Retro-styled Motorcycle,4,"""The Suzuki Katana is a gorgeous motorbike with a legendary look and top-notch performance. This bike pays respect to the original Katana model with its significant machinery and aggressive design. The Katana has reasonable utility and strikes a good balance between strength and efficiency. Even though it is more expensive, the thrill it provides makes up for the cost. In the Katana, comfort is taken into mind. The bike has a comfortable seat and an ergonomic riding position that make it possible to ride for extended periods of time without becoming exhausted. Effectively absorbing bumps is the suspense system."
Suzuki Katana,4.0,Great Bike Ever,4,"Ride with exemplary style and rediscover the legend with the Suzuki Katana. This famous bike gives proper respect to the incredible Katana of the past while consolidating present-day innovation and execution. With its particular plan, strong motor, and exact handling, the Katana offers a mix of immortal style and invigorating execution. Embrace the soul of exemplary tastefulness and ride with style on the Suzuki Katana."
Suzuki Katana,4.0,The Modern Warrior Reborn,4,"The Suzuki Katana brings back the iconic 1980s motorcycle design with modern performance. Powered by a 150 horsepower inline-4 engine and weighing under 500 pounds, the Katana handles nimbly and accelerates quickly. Its boxy fuel tank and round headlight harken back to the original Katana design while LED lighting and fully digital instrument cluster bring it into the 21st century. The Katana is a joy to ride with a comfortable seat, upright riding position, and easy-to-use controls. The retro-modern Suzuki Katana revives a classic name in a package that blends modern power and tech."
Suzuki Katana,4.0,More Comfortable Or Upright Riding Experience,4,SUZUKI Katana is a modern technology-based bike. It gives an inline-four-cylinder engine. It gives a great balance between handling and riding. It has a fantastic look with beautiful colour options. It is an excellent bike for daily riders. It comes with a powerful engine. It comes with comfort ride. It offers a premium look. It comes with an inline four-cylinder. Its brakes are strong. It cost approx 2 lakh which is good. The build quality is also good. Overall this bike is good in all aspects.
Suzuki Katana,4.0,Made Comfortable,4,"A pleasant bike for racers is lightweight, rapid, and force is true to form no more uncertainty about Suzuki bikes this is the best bikes maker on the planet, this bike merits a cost and is worth the effort for your assumptions and consider it simply buy it now on the off chance that you have any questions, giving a test ride. The katana's deft dealing and delicate brakes make for a fun ride. Although its more prominent cost and restricted convenience for everyday use may not be as everybody would prefer."
Suzuki Katana,4.0,exhilarating and fun using revel in.,4,"Suzuki Katana is a mythical motorbike that mixes retro-stimulated design, effective performance, and agile handling. Its putting unfashionable design will pay homage to its iconic heritage. With a effective engine, it gives you impressive acceleration and easy electricity delivery. The Katana excels in agile managing and balance, presenting specific manipulate and convenient maneuverability. Rider consolation is prioritized with an ergonomic using role and advanced suspension. Packed with advanced technology and features, it enhances comfort and overall performance. Overall, the Suzuki Katana is a stylish and high-overall performance motorcycle that celebrates its legacy at the same time as embracing present day needs, supplying an exhilarating and fun using revel in."
Suzuki Katana,4.0,A Modern Take On A Classic Design,4,"The Suzuki Katana revives the iconic 1980s design in a modern package. With a powerful 1043 cc inline four-cylinder engine producing over 150 horsepower. The Katana is a thrill to ride, with quick acceleration and a howling exhaust note. Katana's retro-futuristic styling stands out from the crowd. However, the riding position favours style over comfort. In summary, the Katana combines modern performance with a classic design for an exhilarating ride, and it is obvious that it came at a very high price."
Suzuki V-Strom 650XT,4.1,Nice Bike ,5,It is a nice bike. It gives nice mileage. It is much comfortable than any bike. It is safe also.
Suzuki Katana,4.0,Worth Buying,4,"My friend Akash, a passionate biker, told me about the SUZUKI Katana. He gave it a test drive and found the bike to be extremely enjoyable. He thinks that the 15 lakh rupee pricing is a little bit excessive. Despite this, he was pleased with Katana's functionality and features. It depends on your tastes and your money, but Akash can surely appreciate the attractiveness of this bike. Overall, it appears to be a well-built computer, though some people could be put off by the cost. Still, I believe it is worth giving a test drive kind of bike, you should try it!"
Suzuki Katana,4.0,Katana Is A Noteworthy Bike,4,"The Suzuki Katana is a noteworthy bike that blends a regular format with a huge general execution. Its compelling motor and forceful styling give recognition to the first Katana model. The motorbike offers a great harmony between power and proficiency, making it an exhilarating ride. Regardless of its top-notch cost, the fervour it offers is truly worth every penny. The Katana likewise focuses on solace with a pleasantly planned seat and an ergonomic riding position that permits extended periods of riding. The suspension machine ingests knocks, providing a simple outing. Generally, an uncommon bike."
Suzuki V-Strom 650XT,4.1,Excellent Bike,5,From 650 has a high adjustable windscreen.
